avg_logs,random,deg1,deg2,deg3,deg4,deg5,bywreach1,bywreach2,bywreach3,bywreach4,bywreach5,bysreach1,bysreach2,bysreach3,bysreach4,bysreach5,sortdeg1,sortdeg2,sortdeg3,sortdeg4,sortdeg5,td,fill-in,tw,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
all,7.301,4.803,5.996,6.194,6.760,6.988,4.677,4.473,4.425,4.403,4.519,4.651,4.369,4.330,4.335,4.345,4.477,4.905,4.800,4.942,4.935,nan,4.816,4.740,4.729,4.565,4.647,nan,nan,4.796,4.808,4.819,4.784,4.797,4.816,4.713,4.725,4.742,4.909,4.924,4.957,4.919,4.935,4.961,4.946,4.961,4.992,4.815
2,6.280,3.646,5.095,5.470,6.115,6.229,3.579,3.289,3.517,3.591,3.692,3.551,3.394,3.450,3.525,3.543,3.553,3.839,3.817,3.916,3.929,nan,4.088,3.975,3.610,3.484,3.744,nan,nan,3.784,3.811,3.774,3.774,3.797,3.772,3.732,3.749,3.733,3.935,3.953,3.962,3.941,3.962,3.963,3.959,3.976,3.975,3.853
3,7.249,4.664,5.903,6.058,6.687,6.988,4.534,4.344,4.119,4.272,4.446,4.525,4.221,4.207,4.214,4.249,4.341,4.780,4.652,4.790,4.780,nan,4.799,4.684,4.588,4.394,4.468,nan,nan,4.677,4.685,4.716,4.662,4.673,4.710,4.591,4.599,4.648,4.784,4.795,4.851,4.784,4.805,4.853,4.816,4.836,4.888,4.699
4,7.729,5.276,6.365,6.498,6.999,7.289,5.121,4.952,4.827,4.645,4.866,5.104,4.777,4.692,4.665,4.670,4.863,5.334,5.201,5.370,5.359,nan,5.121,5.064,5.186,5.008,5.021,nan,nan,5.214,5.217,5.241,5.202,5.207,5.241,5.117,5.129,5.151,5.307,5.317,5.364,5.319,5.328,5.368,5.356,5.360,5.415,5.215
5,7.948,5.628,6.620,6.751,7.241,7.444,5.476,5.307,5.238,5.104,5.072,5.423,5.085,4.972,4.938,4.917,5.149,5.665,5.530,5.691,5.673,nan,5.253,5.238,5.532,5.375,5.356,nan,nan,5.509,5.518,5.544,5.500,5.512,5.542,5.411,5.424,5.436,5.610,5.631,5.649,5.630,5.646,5.659,5.654,5.670,5.691,5.496

berlins_apx_ratio,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
all,1.131,1.147,1.159,1.117,1.135,1.156,1.039,1.054,1.072,1.277,1.309,1.363,1.291,1.324,1.368,1.329,1.360,1.410,1.155
2,1.123,1.154,1.114,1.111,1.137,1.111,1.066,1.084,1.068,1.309,1.335,1.353,1.318,1.347,1.352,1.341,1.364,1.369,1.204
