test,rad,%,MFCS_forb,MFCS_scat,MFCS_score,MFCS_time,TGV_forb,TGV_scat,TGV_score,TGV_time,TGV2_forb,TGV2_scat,TGV2_score,TGV2_time,tree_forb,tree_scat,tree_score,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_score,tree_shrink_time,ldit_forb,ldit_scat,ldit_score,ldit_time,ldpow_forb,ldpow_scat,ldpow_score,ldpow_time,TGV3_forb,TGV3_scat,TGV3_score,TGV3_time
big/sb-12-1.txtg,2,20,0,79,79,0:00.04,0,62,62,0:00.23,0,198,198,0:00.19,0,229,229,0:00.03,0,229,229,0:00.03,0,262,262,0:00.03,0,284,284,0:00.07,0,282,282,0:39.49
big/as20000102.txtg,3,100,552,3640,67,0:00.43,1,284,280,0:03.87,1,348,291,0:03.30,0,375,375,0:01.10,0,375,375,0:00.50,0,379,379,0:00.54,0,440,440,0:07.93,-,-,-,TIMEOUT
big/as20000102.txtg,3,20,277,1147,76,0:00.07,1,75,71,0:03.08,0,67,67,0:02.77,0,179,179,0:00.08,0,179,179,0:00.06,0,185,185,0:00.05,0,185,185,0:01.07,-,-,-,TIMEOUT
big/cl-12-0.txtg,3,100,1146,1012,2,0:00.67,0,2,2,0:16.26,0,193,193,0:11.62,0,346,346,0:00.07,0,346,346,0:00.05,0,349,349,0:00.04,0,361,361,0:03.07,-,-,-,TIMEOUT
big/cl-12-0.txtg,3,20,529,312,2,0:00.09,0,2,2,0:09.90,0,78,78,0:07.70,0,124,124,0:00.03,0,124,124,0:00.03,0,134,134,0:00.03,0,138,138,0:00.43,0,140,140,3:01.71
big/cl-12-1.txtg,3,100,976,712,3,0:00.32,0,2,2,0:17.20,0,206,206,0:14.22,0,343,343,0:00.08,0,343,343,0:00.05,0,352,352,0:00.05,0,361,361,0:03.09,-,-,-,TIMEOUT
big/cl-12-1.txtg,3,20,530,330,2,0:00.09,0,12,12,0:16.61,0,88,88,0:10.54,0,134,134,0:00.03,0,134,134,0:00.03,0,142,142,0:00.03,0,148,148,0:00.44,0,147,147,3:14.49
big/clh-12-0.txtg,3,100,286,248,2,0:00.04,0,31,31,0:10.49,0,279,279,0:07.86,0,346,346,0:00.05,0,346,346,0:00.04,0,350,350,0:00.03,0,428,428,0:01.87,-,-,-,TIMEOUT
big/clh-12-0.txtg,3,20,238,179,2,0:00.04,0,14,14,0:07.21,0,161,161,0:04.93,0,188,188,0:00.03,0,188,188,0:00.02,0,199,199,0:00.03,0,216,216,0:00.28,0,219,219,3:26.67
big/clh-12-1.txtg,3,100,743,567,1,0:00.07,0,24,24,0:10.08,0,241,241,0:10.48,0,324,324,0:00.05,0,324,324,0:00.04,0,329,329,0:00.03,0,409,409,0:01.83,-,-,-,TIMEOUT
big/clh-12-1.txtg,3,20,205,153,1,0:00.04,0,26,26,0:08.92,0,142,142,0:05.09,0,190,190,0:00.03,0,190,190,0:00.02,0,204,204,0:00.02,0,221,221,0:00.28,0,223,223,3:15.11
big/cond-mat.txtg,3,100,0,979,979,0:00.34,0,948,948,0:10.14,0,1430,1430,0:11.03,0,1849,1849,0:00.88,0,1849,1849,0:00.30,0,1881,1881,0:00.16,0,1928,1928,0:05.06,-,-,-,TIMEOUT
big/cond-mat.txtg,3,20,0,512,512,0:00.14,0,495,495,0:05.00,0,814,814,0:04.44,0,918,918,0:00.21,0,918,918,0:00.11,0,956,956,0:00.09,0,994,994,0:00.88,-,-,-,TIMEOUT
big/fvs001.txtg,3,100,792,4726,4,0:00.67,0,47,47,0:06.56,0,96,96,0:06.28,0,172,172,0:00.71,0,172,172,0:00.22,0,173,173,0:00.50,0,173,173,0:02.37,-,-,-,TIMEOUT
