test,rad,random,deg1,deg2,deg3,deg4,deg5,sortdeg1,sortdeg2,sortdeg3,sortdeg4,sortdeg5,td,fill-in,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
email-Enron,5,23032,2331,3899,5498,,,1983,2824,2797,2712,2790,,,2340,2324,,,,2714,2633,2631,2682,2615,2621,2579,2517,2519,2717,2714,2744,2807,2774,2784,2876,2824,2833,2834
fvs037,5,15191,1923,20394,425,15424,15291,195,20390,195,4935,16483,,195,1886,1913,522,,,2612,2184,2055,2610,2182,2055,2601,2174,2048,6093,5241,4799,6093,5241,4799,6093,5241,4801,2694
fvs041,5,11786,145,404,5546,6155,10944,164,143,140,159,157,,147,144,210,245,240,217,154,154,147,154,154,147,154,154,147,153,153,147,153,153,147,153,153,147,167
loc-brightkite_edges,5,35232,4435,6106,6198,,,3304,4813,5207,5256,5177,,,4388,,,,,5114,4989,4943,5076,4964,4896,4710,4681,4655,5011,4958,4981,5152,5104,5071,5374,5263,5239,4922
planar50002,5,21636,34,352,1115,3563,,29,27,32,48,66,,33,29,37,55,86,94,28,28,31,28,28,31,28,28,31,28,28,31,28,28,31,27,27,31,29
planar70000,5,19500,66,539,641,3278,4544,29,38,53,71,73,,31,40,40,41,52,64,29,30,33,29,30,33,28,29,29,35,37,34,35,37,34,34,37,37,30
sb-14-0,5,4457,3266,2977,2527,2304,2218,1618,1703,1888,1975,2002,,,2806,2633,,,,3341,3469,3667,3324,3464,3655,3122,3241,3372,3332,3441,3443,3386,3463,3495,3566,3677,3766,3426
soc-Epinions1,5,,5017,7152,,,,4347,6119,6208,6209,6219,,,4996,,,,,5824,5951,6012,5814,5897,5997,5649,5733,5809,5961,6190,6028,6043,6256,6096,6189,6348,6304,5858
soc-Slashdot0811,5,,7030,9998,,,,6065,9003,7763,7709,7697,,,7010,,,,,9855,9735,9513,9839,9717,9465,9607,9512,9267,10342,10260,9816,10507,10469,9996,10826,10785,10233,9827
twittercrawl,5,3367,1675,2384,2981,3358,3466,1475,2190,2376,2642,3331,,1247,1677,2206,,,,1423,1423,1462,1414,1414,1464,1406,1406,1458,1435,1435,1523,1450,1450,1522,1432,1432,1514,1584
