test,rad,TGV.forb,TGV.scat,TGV.score,TGV2.forb,TGV2.scat,TGV2.score,MFCS.forb,MFCS.scat,MFCS.score,mix_tree.forb,mix_tree.scat,mix_tree.score,mix_tree_shrink.forb,mix_tree_shrink.scat,mix_tree_shrink.score,mix_ldit.forb,mix_ldit.scat,mix_ldit.score,mix_ldpow.forb,mix_ldpow.scat,mix_ldpow.score
polbooks,3,0,2,2,2,3,2,15,9,1,0,3,3,0,3,3,0,3,3,0,3,3
word_adjacencies,3,1,2,2,1,2,2,18,11,1,0,2,2,0,2,2,0,2,2,0,3,3
bergen,4,4,3,1,4,3,1,16,8,1,0,1,1,0,1,1,0,1,1,0,1,1
dolphins,4,1,2,2,1,2,2,13,8,1,2,2,2,2,2,2,0,2,2,0,2,2
football,4,0,1,1,0,1,1,43,6,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs002,4,0,13,13,0,25,25,20,30,3,0,26,26,0,26,26,0,27,27,0,31,31
fvs020,4,0,3,3,0,4,4,4,5,1,0,4,4,0,4,4,0,5,5,0,5,5
fvs033,4,0,14,14,0,24,24,0,9,9,0,23,23,0,23,23,0,24,24,0,33,33
fvs047,4,0,3,3,0,3,3,11,7,1,0,3,3,0,3,3,0,2,2,0,3,3
fvs051,4,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs066,4,0,1,1,0,1,1,30,4,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs097,4,0,3,3,0,3,3,0,5,5,0,3,3,0,3,3,0,2,2,0,5,5
fvs099,4,0,2,2,0,2,2,1,3,1,0,3,3,0,3,3,0,3,3,0,3,3
fvs100,4,0,4,4,0,5,5,3,5,2,0,5,5,0,5,5,0,6,6,0,8,8
hex,4,0,8,8,0,10,10,0,8,8,0,8,8,0,8,8,0,10,10,0,15,15
karate,4,0,1,1,0,1,1,5,4,2,0,1,1,0,1,1,0,1,1,4,3,2
lesmiserables,4,1,4,3,1,4,3,8,11,2,1,4,3,1,3,3,1,2,2,2,5,4
photoviz_dynamic,4,0,8,8,0,14,14,15,18,2,0,14,14,0,14,14,0,17,17,0,21,21
planar302,4,4,3,2,4,3,2,40,41,1,0,5,5,0,5,5,0,5,5,0,6,6
planar350,4,4,4,2,1,7,3,43,47,2,0,6,6,0,6,6,0,6,6,0,7,7
planar400,4,4,5,2,0,5,5,47,59,2,0,8,8,0,8,8,0,10,10,0,11,11
planar500,4,0,2,2,0,3,3,43,57,2,0,11,11,0,11,11,0,12,12,0,12,12
planar600,4,0,6,6,0,15,15,45,80,4,0,20,20,0,20,20,0,21,21,0,25,25
polbooks,4,5,3,1,5,3,1,23,10,1,0,2,2,0,2,2,0,2,2,0,2,2
word_adjacencies,4,1,2,2,1,2,2,25,10,1,0,1,1,0,1,1,0,1,1,1,2,2
bergen,5,4,3,1,4,3,1,17,8,1,0,1,1,0,1,1,0,1,1,0,1,1
dolphins,5,1,2,2,1,2,2,16,9,1,0,1,1,0,1,1,0,2,2,0,2,2
football,5,19,2,1,19,2,1,50,6,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs002,5,0,9,9,0,19,19,24,37,3,0,21,21,0,21,21,0,22,22,0,25,25
fvs020,5,0,2,2,0,4,4,6,6,1,0,3,3,0,3,3,0,4,4,0,4,4
fvs033,5,0,8,8,0,16,16,20,21,1,0,12,12,0,12,12,0,14,14,0,22,22
fvs047,5,0,2,2,0,2,2,16,7,1,0,2,2,0,2,2,0,1,1,0,3,3
fvs051,5,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs066,5,0,1,1,0,1,1,40,4,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs097,5,0,2,2,0,2,2,15,5,1,0,2,2,0,2,2,0,2,2,0,2,2
fvs099,5,0,2,2,0,2,2,1,3,1,0,2,2,0,2,2,0,2,2,0,2,2
fvs100,5,0,3,3,0,4,4,3,4,2,0,4,4,0,4,4,0,4,4,0,5,5
hex,5,0,6,6,0,11,11,3,6,4,0,7,7,0,7,7,0,8,8,0,10,10
karate,5,0,1,1,0,1,1,5,4,2,0,1,1,0,1,1,0,1,1,4,3,2
lesmiserables,5,1,4,3,1,4,3,9,11,2,1,4,3,1,3,3,1,2,2,2,5,4
photoviz_dynamic,5,0,7,7,0,8,8,32,37,2,0,11,11,0,11,11,0,14,14,0,15,15
planar302,5,4,3,2,4,3,2,48,41,1,0,2,2,0,2,2,0,2,2,0,2,2
planar350,5,3,2,1,2,3,2,45,47,2,0,3,3,0,3,3,0,3,3,0,3,3
planar400,5,5,4,2,2,4,2,48,60,2,0,4,4,0,4,4,0,6,6,0,6,6
planar500,5,3,2,2,3,2,2,50,69,2,0,7,7,0,7,7,0,9,9,0,9,9
planar600,5,0,6,6,0,9,9,50,83,3,0,14,14,0,14,14,0,16,16,0,18,18
polbooks,5,6,2,1,6,2,1,24,10,1,0,1,1,0,1,1,0,1,1,0,1,1
word_adjacencies,5,1,2,2,1,2,2,31,10,1,0,1,1,0,1,1,0,1,1,1,2,2
