test,rad,TGV.forb,TGV.scat,TGV.score,TGV2.forb,TGV2.scat,TGV2.score,MFCS.forb,MFCS.scat,MFCS.score,mix_tree.forb,mix_tree.scat,mix_tree.score,mix_ldit.forb,mix_ldit.scat,mix_ldit.score,mix_ldpow.forb,mix_ldpow.scat,mix_ldpow.score
dolphins,4,1,4,3,0,2,2,36,16,2,0,2,2,1,3,2,6,9,3
football,4,71,4,1,0,1,1,103,12,1,0,1,1,0,1,1,0,1,1
fvs002,4,0,18,18,0,35,35,0,22,22,0,42,42,0,48,48,0,56,56
fvs020,4,0,5,5,0,6,6,20,17,2,1,13,7,1,14,7,5,25,7
fvs033,4,0,29,29,0,38,38,0,18,18,0,21,21,0,25,25,0,43,43
fvs047,4,0,3,3,0,3,3,69,15,1,0,3,3,0,3,3,0,5,5
fvs051,4,30,2,1,0,1,1,45,5,1,1,1,1,1,1,1,0,1,1
fvs066,4,97,3,1,0,1,1,133,13,1,0,1,1,0,1,1,0,1,1
fvs097,4,1,3,1,1,3,1,84,12,1,0,4,4,0,4,4,0,6,6
fvs099,4,1,3,1,0,2,2,18,12,2,1,5,2,0,4,4,2,8,2
fvs100,4,0,5,5,0,5,5,79,8,1,0,5,5,0,7,7,0,12,12
hex,4,8,13,11,0,14,14,0,12,12,0,9,9,0,10,10,0,19,19
karate,4,5,5,2,6,1,1,15,19,5,3,8,5,3,8,5,5,15,5
lesmiserables,4,1,7,7,9,1,1,42,35,7,1,9,6,1,9,6,6,17,7
photoviz_dynamic,4,1,16,7,0,18,18,97,133,8,1,35,18,1,36,20,4,54,16
planar302,4,3,5,1,0,2,2,178,122,1,1,6,2,2,8,4,5,15,3
planar350,4,8,8,1,13,1,1,190,158,2,1,12,5,1,17,5,4,26,4
planar400,4,9,9,3,4,4,1,195,191,2,0,18,18,0,21,21,0,21,21
planar500,4,5,7,2,10,1,1,212,232,3,1,26,8,0,24,24,2,43,9
planar600,4,0,14,14,3,6,1,231,268,5,0,49,49,0,49,49,2,75,23
polbooks,4,0,2,2,0,2,2,71,34,1,0,2,2,0,2,2,0,2,2
word_adjacencies,4,31,4,1,0,1,1,69,42,2,1,4,3,1,4,3,4,9,2
bergen,5,19,6,1,20,1,1,31,22,2,2,1,1,4,1,1,0,1,1
dolphins,5,5,4,2,0,2,2,36,19,2,0,2,2,1,2,1,8,10,2
football,5,84,4,1,0,1,1,103,12,1,0,1,1,0,1,1,0,1,1
fvs002,5,0,10,10,0,25,25,144,121,6,0,31,31,0,35,35,0,39,39
fvs020,5,0,4,4,0,5,5,17,14,2,1,10,6,1,12,6,5,24,6
fvs033,5,6,10,2,0,19,19,336,38,1,0,13,13,0,15,15,0,25,25
fvs047,5,0,2,2,0,2,2,69,15,1,0,2,2,0,2,2,0,3,3
fvs051,5,37,2,1,0,1,1,45,5,1,1,1,1,1,1,1,0,1,1
fvs066,5,99,3,1,0,1,1,133,13,1,0,1,1,0,1,1,0,1,1
fvs097,5,18,3,1,0,2,2,84,12,1,0,2,2,0,2,2,0,2,2
fvs099,5,1,3,1,0,2,2,18,12,2,1,3,1,0,2,2,8,11,2
fvs100,5,19,5,1,21,4,1,90,11,1,0,4,4,0,4,4,0,5,5
hex,5,0,9,9,0,11,11,37,9,4,0,9,9,0,10,10,0,14,14
karate,5,5,5,2,6,1,1,15,19,5,3,8,5,3,8,5,5,14,6
lesmiserables,5,1,7,7,11,1,1,42,35,7,1,7,6,1,7,5,4,13,7
photoviz_dynamic,5,0,9,9,0,12,12,109,158,8,1,27,11,1,27,12,5,50,9
planar302,5,8,8,1,7,1,1,180,122,1,1,4,2,2,6,3,7,14,2
planar350,5,7,6,1,2,2,1,192,158,2,1,7,3,1,11,3,4,19,3
planar400,5,6,7,1,4,4,1,201,195,2,0,11,11,0,12,12,3,19,3
planar500,5,5,7,2,10,1,1,222,249,3,1,16,6,0,15,15,3,33,6
planar600,5,0,12,12,3,5,1,252,284,5,0,36,36,0,36,36,2,57,13
polbooks,5,21,4,1,0,1,1,71,34,1,0,2,2,0,1,1,0,2,2
word_adjacencies,5,33,4,1,38,1,1,69,42,2,1,2,1,1,2,1,3,6,2
