test,rad,%,MFCS_forb,MFCS_scat,MFCS_time,TGV_forb,TGV_scat,TGV_time,TGV2_forb,TGV2_scat,TGV2_time,tree_forb,tree_scat,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_time,ldit_forb,ldit_scat,ldit_time,ldpow_forb,ldpow_scat,ldpow_time,TGV3_forb,TGV3_scat,TGV3_time
small/dolphins.txtg,3,20,5,5,0:00.00,0,2,0:00.02,0,2,0:00.02,0,4,0:00.00,0,4,0:00.00,0,4,0:00.00,0,4,0:00.00,0,4,0:00.04
small/football.txtg,3,100,54,12,0:00.01,1,2,0:00.23,1,2,0:00.22,0,2,0:00.00,0,2,0:00.00,0,2,0:00.00,0,2,0:00.02,0,2,0:01.99
small/football.txtg,3,20,26,6,0:00.00,4,2,0:00.17,4,2,0:00.16,0,2,0:00.00,0,2,0:00.00,0,2,0:00.00,0,2,0:00.01,0,2,0:00.61
small/fvs002.txtg,3,100,16,50,0:00.00,0,31,0:00.03,0,46,0:00.03,0,72,0:00.00,0,72,0:00.00,0,71,0:00.01,0,80,0:00.02,0,80,0:03.17
small/fvs002.txtg,3,20,0,21,0:00.01,0,20,0:00.02,0,32,0:00.02,0,40,0:00.00,0,40,0:00.00,0,40,0:00.00,0,41,0:00.01,0,41,0:00.61
small/fvs020.txtg,3,100,1,8,0:00.00,0,7,0:00.01,0,8,0:00.01,0,10,0:00.00,0,10,0:00.00,0,10,0:00.00,0,11,0:00.00,0,11,0:00.08
small/fvs020.txtg,3,20,0,4,0:00.00,0,5,0:00.01,0,6,0:00.00,0,5,0:00.00,0,5,0:00.00,0,6,0:00.00,0,7,0:00.00,0,7,0:00.03
small/fvs033.txtg,3,100,0,31,0:00.00,0,52,0:00.08,0,58,0:00.06,0,60,0:00.01,0,60,0:00.01,0,60,0:00.01,0,76,0:00.02,0,75,0:02.47
small/fvs033.txtg,3,20,0,26,0:00.00,0,27,0:00.04,0,40,0:00.03,0,38,0:00.01,0,38,0:00.02,0,38,0:00.00,0,45,0:00.01,0,45,0:00.68
small/fvs047.txtg,3,100,11,9,0:00.00,0,5,0:00.02,0,5,0:00.02,0,5,0:00.00,0,5,0:00.00,0,6,0:00.00,0,8,0:00.01,0,8,0:00.15
small/fvs047.txtg,3,20,7,5,0:00.00,0,3,0:00.02,0,3,0:00.04,0,5,0:00.00,0,5,0:00.00,0,4,0:00.00,0,6,0:00.01,0,6,0:00.05
small/fvs051.txtg,3,100,18,5,0:00.00,0,1,0:00.04,0,1,0:00.04,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.32
small/fvs051.txtg,3,20,0,1,0:00.00,0,1,0:00.03,0,1,0:00.03,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.11
