test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,WReachR_wcol,WReachR_time,SReach_wcol,SReachR_time,felixR_wcol,felixR_time
cl-10-0,3,127,0:00.01 ,248,0:05.52 ,197,0:01.15 ,222,0:00.02 ,99,0:00.05 ,124,0:00.31 ,137,0:03.04 
cl-10-1,3,119,0:00.02 ,281,0:06.94 ,190,0:01.23 ,190,0:00.02 ,97,0:00.05 ,112,0:00.30 ,141,0:04.04 
cl-10-2,3,129,0:00.02 ,209,0:09.89 ,210,0:01.39 ,203,0:00.08 ,102,0:00.05 ,120,0:00.31 ,147,0:03.99 
clh-10-0,3,84,0:00.01 ,194,0:02.86 ,153,0:00.75 ,130,0:00.02 ,67,0:00.04 ,81,0:00.25 ,90,0:02.15 
clh-10-1,3,89,0:00.01 ,177,0:02.95 ,147,0:00.60 ,131,0:00.05 ,69,0:00.04 ,79,0:00.23 ,93,0:02.07 
clh-10-2,3,99,0:00.01 ,181,0:04.22 ,150,0:00.56 ,113,0:00.03 ,70,0:00.04 ,83,0:00.28 ,96,0:02.18 
codeminer,3,19,0:00.01 ,30,0:01.97 ,13,0:00.02 ,17,0:00.01 ,17,0:00.01 ,13,0:00.05 ,16,0:00.28 
cpan-authors,3,35,0:00.02 ,47,0:09.54 ,43,0:00.07 ,50,0:00.05 ,33,0:00.01 ,34,0:00.07 ,48,0:00.55 
cpan-distributions,3,34,0:00.03 ,-1,TIMEOUT,43,0:00.10 ,42,0:00.16 ,40,0:00.04 ,27,0:00.62 ,38,0:01.20 
diseasome,3,21,0:00.03 ,-1,RTE,26,0:00.02 ,23,0:00.05 ,20,0:00.02 ,21,0:00.23 ,33,0:00.49 
fvs004,3,73,0:00.01 ,97,0:00.43 ,81,0:00.18 ,105,0:00.01 ,65,0:00.01 ,68,0:00.08 ,96,0:00.62 
fvs008,3,29,0:00.03 ,-1,TIMEOUT,29,0:00.06 ,32,0:00.05 ,19,0:00.02 ,20,0:00.42 ,21,0:00.57 
fvs014,3,66,0:00.05 ,-1,TIMEOUT,66,0:00.47 ,350,0:00.08 ,66,0:00.10 ,66,0:00.57 ,114,0:03.49 
fvs021,3,29,0:00.03 ,-1,TIMEOUT,26,0:00.07 ,29,0:00.06 ,19,0:00.02 ,20,0:00.42 ,22,0:00.57 
fvs023,3,15,0:00.02 ,17,0:01.31 ,13,0:00.03 ,18,0:00.00 ,27,0:00.01 ,15,0:00.02 ,25,0:00.29 
fvs052,3,14,0:00.01 ,26,0:19.46 ,12,0:00.06 ,16,0:00.03 ,12,0:00.02 ,11,0:00.34 ,14,0:00.49 
fvs056,3,15,0:00.01 ,23,0:13.90 ,13,0:00.05 ,15,0:00.04 ,12,0:00.02 ,12,0:00.40 ,14,0:00.52 
fvs078,3,20,0:00.01 ,-1,TIMEOUT,15,0:00.14 ,15,0:00.07 ,11,0:00.03 ,10,0:01.33 ,12,0:00.75 
netscience,3,20,0:00.02 ,-1,TIMEOUT,20,0:00.03 ,20,0:00.05 ,20,0:00.02 ,20,0:00.16 ,21,0:00.36 
planar1302,3,16,0:00.03 ,29,0:04.45 ,20,0:00.03 ,16,0:00.04 ,16,0:00.03 ,17,0:00.23 ,27,0:00.49 
planar1500,3,16,0:00.03 ,29,0:06.13 ,19,0:00.03 ,16,0:00.05 ,19,0:00.03 ,15,0:00.30 ,25,0:00.55 
planar2000,3,17,0:00.01 ,36,0:07.29 ,15,0:00.04 ,15,0:00.07 ,16,0:00.03 ,13,0:00.45 ,21,0:00.63 
planar2500,3,13,0:00.03 ,30,0:15.28 ,14,0:00.04 ,14,0:00.09 ,15,0:00.03 ,12,0:00.64 ,17,0:00.70 
planar3000,3,12,0:00.04 ,40,0:29.47 ,14,0:00.04 ,12,0:00.11 ,13,0:00.03 ,12,0:00.71 ,16,0:00.71 
power,3,18,0:00.06 ,-1,TIMEOUT,17,0:00.11 ,16,0:00.24 ,21,0:00.06 ,16,0:02.98 ,20,0:01.19 
sb-10-0,3,89,0:00.02 ,181,0:26.39 ,139,0:03.83 ,139,0:00.02 ,64,0:00.05 ,94,0:00.43 ,91,0:06.39 
sb-10-1,3,98,0:00.03 ,226,0:19.01 ,136,0:04.34 ,131,0:00.02 ,66,0:00.05 ,93,0:00.45 ,103,0:07.14 
sb-10-2,3,92,0:00.02 ,184,0:20.56 ,159,0:03.30 ,137,0:00.02 ,68,0:00.05 ,87,0:00.45 ,93,0:06.79 
sp_data_school_day_2,3,174,0:00.02 ,206,0:00.45 ,153,0:00.40 ,175,0:00.02 ,160,0:00.04 ,146,0:00.21 ,211,0:01.22 
yeast,3,173,0:00.05 ,-1,TIMEOUT,251,0:02.27 ,243,0:00.09 ,112,0:00.12 ,129,0:01.12 ,180,0:07.68 
airlines,4,56,0:00.02 ,65,0:00.30 ,53,0:00.17 ,65,0:00.02 ,49,0:00.01 ,48,0:00.03 ,95,0:00.39 
celegans,4,124,0:00.04 ,151,0:00.50 ,110,0:00.22 ,138,0:00.01 ,109,0:00.02 ,95,0:00.09 ,160,0:01.09 
cl-10-0,4,199,0:00.01 ,293,0:05.52 ,218,0:01.15 ,313,0:00.02 ,158,0:00.08 ,163,0:00.55 ,208,0:04.94 
cl-10-1,4,191,0:00.02 ,308,0:06.94 ,216,0:01.23 ,308,0:00.02 ,152,0:00.08 ,167,0:00.58 ,210,0:08.22 
cl-10-2,4,189,0:00.02 ,271,0:09.89 ,225,0:01.39 ,302,0:00.08 ,160,0:00.08 ,164,0:00.53 ,220,0:05.85 
clh-10-0,4,132,0:00.01 ,232,0:02.86 ,170,0:00.75 ,212,0:00.02 ,113,0:00.06 ,115,0:00.36 ,144,0:03.44 
clh-10-1,4,131,0:00.01 ,207,0:02.95 ,159,0:00.60 ,194,0:00.05 ,107,0:00.06 ,109,0:00.33 ,154,0:03.09 
clh-10-2,4,139,0:00.01 ,237,0:04.22 ,168,0:00.56 ,182,0:00.03 ,110,0:00.06 ,118,0:00.34 ,144,0:03.34 
codeminer,4,27,0:00.01 ,34,0:01.97 ,15,0:00.02 ,21,0:00.01 ,22,0:00.01 ,18,0:00.05 ,22,0:00.34 
cpan-authors,4,41,0:00.02 ,50,0:09.54 ,44,0:00.07 ,55,0:00.05 ,40,0:00.02 ,41,0:00.07 ,68,0:00.71 
cpan-distributions,4,45,0:00.03 ,-1,TIMEOUT,49,0:00.10 ,59,0:00.16 ,34,0:00.05 ,36,0:00.64 ,70,0:02.23 
diseasome,4,24,0:00.03 ,-1,RTE,28,0:00.02 ,25,0:00.05 ,24,0:00.02 ,23,0:00.24 ,37,0:00.66 
fvs004,4,90,0:00.01 ,102,0:00.43 ,83,0:00.18 ,117,0:00.01 ,81,0:00.01 ,77,0:00.08 ,134,0:00.79 
fvs008,4,46,0:00.03 ,-1,TIMEOUT,43,0:00.06 ,51,0:00.05 ,30,0:00.03 ,31,0:00.43 ,38,0:00.94 
fvs014,4,66,0:00.05 ,-1,TIMEOUT,66,0:00.47 ,352,0:00.08 ,66,0:00.11 ,67,0:00.64 ,155,0:05.26 
fvs021,4,47,0:00.03 ,-1,TIMEOUT,41,0:00.07 ,50,0:00.06 ,28,0:00.03 ,31,0:00.43 ,44,0:00.94 
fvs023,4,16,0:00.02 ,23,0:01.31 ,15,0:00.03 ,23,0:00.00 ,16,0:00.00 ,16,0:00.02 ,60,0:00.37 
fvs052,4,20,0:00.01 ,27,0:19.46 ,16,0:00.06 ,20,0:00.03 ,17,0:00.02 ,14,0:00.36 ,18,0:00.65 
fvs056,4,20,0:00.01 ,27,0:13.90 ,18,0:00.05 ,22,0:00.04 ,18,0:00.02 ,15,0:00.42 ,19,0:00.70 
fvs078,4,29,0:00.01 ,-1,TIMEOUT,21,0:00.14 ,22,0:00.07 ,13,0:00.04 ,14,0:01.44 ,15,0:01.07 
netscience,4,20,0:00.02 ,-1,TIMEOUT,24,0:00.03 ,20,0:00.05 ,20,0:00.02 ,20,0:00.17 ,21,0:00.43 
planar1302,4,19,0:00.03 ,34,0:04.45 ,27,0:00.03 ,18,0:00.04 ,19,0:00.03 ,22,0:00.23 ,39,0:00.57 
planar1500,4,18,0:00.03 ,34,0:06.13 ,26,0:00.03 ,19,0:00.05 ,21,0:00.03 ,18,0:00.31 ,36,0:00.76 
planar2000,4,19,0:00.01 ,37,0:07.29 ,19,0:00.04 ,18,0:00.07 ,17,0:00.03 ,17,0:00.47 ,33,0:00.86 
planar2500,4,16,0:00.03 ,35,0:15.28 ,21,0:00.04 ,17,0:00.09 ,16,0:00.03 ,14,0:00.64 ,28,0:01.03 
planar3000,4,15,0:00.04 ,45,0:29.47 ,17,0:00.04 ,15,0:00.11 ,18,0:00.04 ,14,0:00.79 ,28,0:01.06 
power,4,31,0:00.06 ,-1,TIMEOUT,22,0:00.11 ,24,0:00.24 ,29,0:00.07 ,20,0:03.26 ,25,0:01.67 
sb-10-0,4,201,0:00.02 ,405,0:26.39 ,273,0:03.83 ,333,0:00.02 ,157,0:00.09 ,178,0:00.80 ,251,0:11.04 
sb-10-1,4,208,0:00.03 ,449,0:19.01 ,284,0:04.34 ,346,0:00.02 ,163,0:00.10 ,181,0:00.84 ,266,0:18.44 
sb-10-2,4,208,0:00.02 ,426,0:20.56 ,304,0:03.30 ,338,0:00.02 ,163,0:00.10 ,194,0:00.86 ,261,0:13.73 
sp_data_school_day_2,4,181,0:00.02 ,208,0:00.45 ,153,0:00.40 ,188,0:00.02 ,179,0:00.04 ,154,0:00.24 ,226,0:01.40 
yeast,4,250,0:00.05 ,-1,TIMEOUT,282,0:02.27 ,350,0:00.09 ,188,0:00.21 ,193,0:01.58 ,359,0:11.37 
airlines,5,62,0:00.02 ,65,0:00.30 ,54,0:00.17 ,72,0:00.02 ,57,0:00.01 ,53,0:00.02 ,91,0:00.45 
celegans,5,139,0:00.04 ,153,0:00.50 ,110,0:00.22 ,149,0:00.01 ,123,0:00.02 ,100,0:00.15 ,188,0:01.21 
cl-10-0,5,228,0:00.01 ,309,0:05.52 ,229,0:01.15 ,356,0:00.02 ,195,0:00.10 ,193,0:00.84 ,236,0:07.00 
cl-10-1,5,234,0:00.02 ,320,0:06.94 ,227,0:01.23 ,355,0:00.02 ,191,0:00.10 ,188,0:00.89 ,272,0:11.27 
cl-10-2,5,237,0:00.02 ,301,0:09.89 ,234,0:01.39 ,357,0:00.08 ,200,0:00.10 ,196,0:00.82 ,246,0:07.56 
clh-10-0,5,167,0:00.01 ,254,0:02.86 ,174,0:00.75 ,246,0:00.02 ,141,0:00.08 ,141,0:00.47 ,231,0:04.68 
clh-10-1,5,171,0:00.01 ,231,0:02.95 ,167,0:00.60 ,250,0:00.05 ,137,0:00.07 ,133,0:00.46 ,205,0:04.31 
clh-10-2,5,172,0:00.01 ,255,0:04.22 ,172,0:00.56 ,234,0:00.03 ,140,0:00.08 ,139,0:00.45 ,197,0:04.24 
codeminer,5,31,0:00.01 ,38,0:01.97 ,17,0:00.02 ,26,0:00.01 ,28,0:00.01 ,20,0:00.05 ,30,0:00.43 
cpan-authors,5,46,0:00.02 ,50,0:09.54 ,45,0:00.07 ,58,0:00.05 ,43,0:00.02 ,42,0:00.07 ,72,0:00.92 
cpan-distributions,5,51,0:00.03 ,-1,TIMEOUT,52,0:00.10 ,74,0:00.16 ,42,0:00.05 ,40,0:00.64 ,79,0:03.46 
diseasome,5,27,0:00.03 ,-1,RTE,31,0:00.02 ,27,0:00.05 ,24,0:00.02 ,24,0:00.23 ,38,0:00.90 
fvs004,5,98,0:00.01 ,103,0:00.43 ,83,0:00.18 ,128,0:00.01 ,89,0:00.02 ,77,0:00.06 ,133,0:00.94 
fvs008,5,58,0:00.03 ,-1,TIMEOUT,52,0:00.06 ,70,0:00.05 ,41,0:00.03 ,39,0:00.44 ,59,0:01.44 
fvs014,5,66,0:00.05 ,-1,TIMEOUT,66,0:00.47 ,352,0:00.08 ,66,0:00.10 ,67,0:00.64 ,163,0:05.97 
fvs021,5,57,0:00.03 ,-1,TIMEOUT,52,0:00.07 ,75,0:00.06 ,39,0:00.03 ,39,0:00.49 ,59,0:01.43 
fvs023,5,29,0:00.02 ,37,0:01.31 ,24,0:00.03 ,38,0:00.00 ,61,0:00.01 ,29,0:00.02 ,59,0:00.50 
fvs052,5,25,0:00.01 ,34,0:19.46 ,18,0:00.06 ,23,0:00.03 ,23,0:00.03 ,19,0:00.38 ,22,0:00.86 
fvs056,5,27,0:00.01 ,33,0:13.90 ,21,0:00.05 ,27,0:00.04 ,26,0:00.03 ,22,0:00.43 ,27,0:00.93 
fvs078,5,41,0:00.01 ,-1,TIMEOUT,27,0:00.14 ,29,0:00.07 ,20,0:00.05 ,19,0:01.56 ,23,0:01.37 
netscience,5,21,0:00.02 ,-1,TIMEOUT,25,0:00.03 ,20,0:00.05 ,20,0:00.02 ,24,0:00.17 ,34,0:00.50 
planar1302,5,22,0:00.03 ,36,0:04.45 ,31,0:00.03 ,21,0:00.04 ,22,0:00.03 ,25,0:00.24 ,50,0:00.61 
planar1500,5,20,0:00.03 ,38,0:06.13 ,31,0:00.03 ,20,0:00.05 ,22,0:00.03 ,20,0:00.31 ,42,0:00.94 
planar2000,5,20,0:00.01 ,41,0:07.29 ,23,0:00.04 ,20,0:00.07 ,19,0:00.03 ,19,0:00.48 ,32,0:01.10 
planar2500,5,17,0:00.03 ,38,0:15.28 ,24,0:00.04 ,20,0:00.09 ,22,0:00.04 ,16,0:00.62 ,44,0:01.42 
planar3000,5,15,0:00.04 ,48,0:29.47 ,21,0:00.04 ,17,0:00.11 ,17,0:00.04 ,16,0:00.69 ,36,0:01.42 
power,5,42,0:00.06 ,-1,TIMEOUT,25,0:00.11 ,31,0:00.24 ,35,0:00.08 ,22,0:03.39 ,35,0:02.33 
sb-10-0,5,322,0:00.02 ,509,0:26.39 ,330,0:03.83 ,483,0:00.02 ,246,0:00.14 ,247,0:01.47 ,452,0:13.75 
sb-10-1,5,327,0:00.03 ,548,0:19.01 ,345,0:04.34 ,510,0:00.02 ,249,0:00.15 ,258,0:01.50 ,505,0:24.35 
sb-10-2,5,346,0:00.02 ,543,0:20.56 ,333,0:03.30 ,488,0:00.02 ,252,0:00.15 ,264,0:01.58 ,459,0:17.27 
sp_data_school_day_2,5,190,0:00.02 ,208,0:00.45 ,153,0:00.40 ,190,0:00.02 ,187,0:00.04 ,154,0:00.22 ,227,0:01.61 
yeast,5,297,0:00.05 ,-1,TIMEOUT,291,0:02.27 ,414,0:00.09 ,245,0:00.28 ,228,0:02.47 ,489,0:14.91 
