avg_logs,random,deg1,deg2,deg3,deg4,deg5,bysreach1,bysreach2,bysreach3,bysreach4,bysreach5,bywreach1,bywreach2,bywreach3,bywreach4,bywreach5,sortdeg1,sortdeg2,sortdeg3,sortdeg4,sortdeg5,td,fill-in,tw,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
all,5.542,4.103,4.641,4.736,5.146,5.332,3.957,3.730,3.666,3.653,3.658,3.989,3.797,3.777,3.720,3.764,3.781,4.100,4.031,4.291,4.339,4.244,3.877,3.868,4.052,3.924,3.962,4.073,4.145,4.052,4.047,4.075,4.049,4.047,4.074,3.981,3.981,3.997,4.171,4.179,4.179,4.174,4.181,4.178,4.187,4.199,4.211,4.066
2,4.819,3.240,3.946,4.225,4.691,4.798,3.148,3.055,3.069,3.111,3.122,3.181,2.965,3.177,3.153,3.213,3.132,3.400,3.379,3.636,3.727,3.727,3.366,3.354,3.204,3.130,3.337,3.503,3.560,3.336,3.340,3.326,3.338,3.340,3.327,3.293,3.290,3.292,3.488,3.493,3.487,3.487,3.492,3.483,3.496,3.511,3.494,3.388
3,5.499,4.016,4.556,4.619,5.118,5.351,3.874,3.641,3.585,3.587,3.613,3.929,3.738,3.588,3.656,3.737,3.719,4.030,3.953,4.222,4.275,4.246,3.864,3.864,3.979,3.803,3.847,4.002,4.088,3.996,3.984,4.019,3.993,3.983,4.020,3.931,3.922,3.949,4.105,4.110,4.119,4.108,4.110,4.116,4.134,4.135,4.154,3.998
4,5.845,4.454,4.917,4.955,5.315,5.554,4.287,4.000,3.897,3.859,3.863,4.321,4.116,4.045,3.882,3.985,4.038,4.378,4.287,4.552,4.580,4.444,4.084,4.075,4.394,4.248,4.216,4.297,4.389,4.338,4.329,4.372,4.332,4.330,4.371,4.258,4.259,4.277,4.443,4.456,4.455,4.449,4.459,4.458,4.464,4.476,4.502,4.336
5,6.004,4.701,5.145,5.145,5.462,5.624,4.520,4.224,4.112,4.054,4.032,4.527,4.369,4.297,4.190,4.123,4.236,4.592,4.507,4.754,4.773,4.559,4.193,4.179,4.629,4.513,4.448,4.489,4.545,4.539,4.535,4.581,4.535,4.535,4.578,4.444,4.453,4.469,4.648,4.655,4.653,4.650,4.662,4.654,4.655,4.676,4.696,4.542

berlins_apx_ratio,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
all,1.123,1.115,1.147,1.119,1.115,1.146,1.042,1.042,1.059,1.272,1.281,1.280,1.275,1.285,1.279,1.294,1.307,1.323,1.138
2,1.109,1.111,1.097,1.111,1.111,1.098,1.059,1.056,1.058,1.296,1.305,1.298,1.296,1.304,1.293,1.307,1.325,1.307,1.166
3,1.116,1.100,1.139,1.112,1.100,1.140,1.042,1.032,1.062,1.250,1.257,1.270,1.254,1.259,1.266,1.290,1.288,1.312,1.118
4,1.126,1.112,1.161,1.118,1.113,1.160,1.034,1.034,1.055,1.256,1.273,1.269,1.264,1.278,1.272,1.284,1.299,1.331,1.121
5,1.142,1.137,1.190,1.137,1.136,1.186,1.033,1.043,1.060,1.284,1.291,1.283,1.286,1.299,1.284,1.294,1.317,1.342,1.146

berlins_win_score,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
all,3.338,2.910,1.842,4.195,3.577,1.592,36.098,29.098,30.955,0.251,0.314,0.508,0.251,0.314,0.508,0.814,0.480,0.477,10.477
2,1.311,0.973,1.584,1.168,0.973,1.334,7.227,6.311,8.334,0.053,0.053,0.330,0.053,0.053,0.330,0.053,0.303,0.362,1.195
3,0.448,0.532,0.053,0.448,0.198,0.053,10.115,8.448,6.282,0.198,0.198,0.115,0.198,0.198,0.115,0.198,0.115,0.053,4.032
4,0.962,0.789,0.205,1.462,1.289,0.205,7.689,5.772,9.939,0.000,0.062,0.062,0.000,0.062,0.062,0.062,0.062,0.062,3.250
5,0.617,0.617,0.000,1.117,1.117,0.000,11.067,8.567,6.400,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.000

felixs_apx_ratio,felix1,felix2,felix3,felix4,felix5
all,1.268,1.106,1.156,1.315,1.414
2,1.130,1.050,1.313,1.580,1.661
3,1.268,1.049,1.103,1.302,1.423
4,1.323,1.130,1.095,1.203,1.323
5,1.351,1.193,1.112,1.174,1.249

felixs_win_score,felix1,felix2,felix3,felix4,felix5
all,19.667,46.167,30.833,18.083,13.250
2,8.333,19.833,2.333,1.250,0.250
3,4.333,15.333,9.667,1.000,1.667
4,4.000,7.000,9.833,6.833,4.333
5,3.000,4.000,9.000,9.000,7.000

progs_apx_ratio,random,deg1,deg2,deg3,deg4,deg5,bysreach1,bysreach2,bysreach3,bysreach4,bysreach5,bywreach1,bywreach2,bywreach3,bywreach4,bywreach5,sortdeg1,sortdeg2,sortdeg3,sortdeg4,sortdeg5,td,fill-in,tw,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
all,12.121,1.805,4.078,5.021,8.346,10.058,1.551,1.213,1.136,1.125,1.132,1.603,1.307,1.294,1.203,1.286,1.284,2.250,1.730,2.715,3.018,2.126,1.460,1.437,1.709,1.522,1.548,1.764,1.886,1.758,1.740,1.783,1.751,1.740,1.781,1.632,1.629,1.647,1.996,2.003,2.007,2.003,2.008,2.005,2.036,2.044,2.075,1.772
2,9.900,1.449,4.257,6.394,10.253,10.776,1.318,1.191,1.211,1.270,1.287,1.364,1.085,1.365,1.313,1.442,1.285,2.351,1.767,2.793,3.077,2.474,1.751,1.700,1.393,1.326,1.621,1.960,2.056,1.620,1.621,1.609,1.620,1.621,1.609,1.541,1.538,1.547,1.913,1.925,1.925,1.914,1.924,1.916,1.931,1.952,1.937,1.701
3,12.197,1.714,3.955,4.697,8.605,10.904,1.491,1.167,1.104,1.106,1.139,1.582,1.288,1.116,1.184,1.305,1.271,2.209,1.667,2.689,3.066,2.240,1.513,1.504,1.651,1.390,1.440,1.711,1.866,1.765,1.739,1.791,1.759,1.737,1.791,1.655,1.640,1.671,1.985,1.987,2.015,1.991,1.989,2.008,2.051,2.038,2.082,1.762
4,13.137,1.961,4.024,4.549,7.495,9.699,1.658,1.226,1.100,1.058,1.063,1.720,1.383,1.310,1.089,1.233,1.285,2.226,1.719,2.695,2.971,1.974,1.343,1.332,1.847,1.631,1.536,1.698,1.844,1.817,1.788,1.852,1.804,1.790,1.849,1.672,1.670,1.687,2.029,2.044,2.041,2.044,2.048,2.045,2.082,2.087,2.138,1.801
5,13.250,2.095,4.075,4.445,7.033,8.855,1.736,1.270,1.129,1.065,1.040,1.744,1.474,1.386,1.225,1.163,1.294,2.213,1.767,2.684,2.958,1.816,1.232,1.211,1.944,1.741,1.594,1.685,1.777,1.828,1.813,1.879,1.819,1.811,1.873,1.660,1.669,1.685,2.057,2.058,2.047,2.062,2.072,2.050,2.081,2.100,2.141,1.825

