test,rad,sortdeg1.lsR
out.bibsonomy-2ut,5,1569
out.bookcrossing_rating_rating,5,4137
out.ca-AstroPh,5,2447
out.cfinder-google,5,449
out.chess,5,1184
out.cit-HepPh,5,6114
out.cit-HepTh,5,4898
out.dblp-cite,5,1014
out.dbpedia-genre,5,381
out.dbpedia-location,5,310
out.dbpedia-occupation,5,213
out.dbpedia-producer,5,624
out.dbpedia-recordlabel,5,378
out.dbpedia-starring,5,4134
out.dbpedia-writer,5,333
out.discogs_lgenre_lgenre,5,16
out.douban,5,4760
out.eat,5,
out.edit-enwikibooks,5,1879
out.edit-enwikinews,5,584
out.edit-enwikiquote,5,938
out.edit-frwikibooks,5,287
out.edit-frwikinews,5,163
out.elec,5,1358
out.email-EuAll,5,890
out.enron,5,1851
out.facebook-wosn-wall,5,3696
out.foldoc,5,1619
out.github,5,4135
out.linux,5,596
out.lkml-reply,5,1035
out.loc-brightkite_edges,5,2393
out.matrix,5,
out.movielens-10m_ti,5,1378
out.movielens-10m_ui,5,761
out.munmun_digg_reply,5,1693
out.opsahl-collaboration,5,532
out.p2p-Gnutella31,5,3632
out.pics_ut,5,3061
out.reactome,5,688
out.slashdot-threads,5,1557
out.soc-Epinions1,5,
out.subelj_cora_cora,5,921
out.subelj_jdk_jdk,5,223
out.subelj_jung-j_jung-j,5,204
out.topology,5,301
out.youtube-groupmemberships,5,2903
