test,rad,sortdeg1.lsR
mhd4800a.mtx,2,37
misc-jung-code-dep.edges,2,110
mk11-b3.mtx,2,47
mk11-b4.mtx,2,23
mk12-b5.mtx,2,4
model7.mtx,2,75
model9.mtx,2,115
movielens-10m_ui.edges,2,219
mplate.mtx,2,94
nasa4704.mtx,2,54
nemspmm1.mtx,2,191
nemspmm2.mtx,2,75
p05.mtx,2,27
p2p-Gnutella24.mtx,2,40
p2p-Gnutella25.mtx,2,35
pcb3000.mtx,2,82
pds10.mtx,2,39
piston.mtx,2,63
psse1.mtx,2,28
rail_20209.mtx,2,11
rajat10.mtx,2,6
rdist2.mtx,2,162
rdist3a.mtx,2,203
rel7.mtx,2,70
rosen10.mtx,2,40
scrs8-2r.mtx,2,14
se.mtx,2,7
stokes64.mtx,2,24
stokes64s.mtx,2,24
subelj_jdk.edges,2,106
subelj_jung-j.edges,2,110
ted_B.mtx,2,31
ted_B_unscaled.mtx,2,31
testbig.mtx,2,14
utm5940.mtx,2,44
aa4.mtx,3,277
aa5.mtx,3,358
aa6.mtx,3,300
abtaha1.mtx,3,192
aft01.mtx,3,56
aft02.mtx,3,56
air02.mtx,3,50
air05.mtx,3,277
as-22july06.mtx,3,84
as-caida20071105.edges,3,80
as-caida.mtx,3,80
ASIC_680ks.mtx,3,16
aug3dcqp.mtx,3,8
bauru5727.mtx,3,20
bayer02.mtx,3,159
bayer03.mtx,3,288
bcsstk15.mtx,3,173
bcsstk18.mtx,3,93
bibd_49_3.mtx,3,264
bloweybl.mtx,3,8
bodyy4.mtx,3,22
bodyy5.mtx,3,21
bodyy6.mtx,3,22
c-39.mtx,3,247
c-42.mtx,3,138
c-43.mtx,3,97
c-46.mtx,3,81
c-49.mtx,3,135
cage10.mtx,3,276
ca-opsahl-collaboration.edges,3,60
car4.mtx,3,246
cca.mtx,3,10
ch7-6-b3.mtx,3,299
ch7-9-b2.mtx,3,263
ch8-8-b2.mtx,3,267
Chem97Zt.mtx,3,16
co5.mtx,3,110
comsol.mtx,3,273
conf5_0-4x4-10.mtx,3,523
conf5_0-4x4-14.mtx,3,523
conf5_0-4x4-18.mtx,3,523
conf5_0-4x4-22.mtx,3,523
conf5_0-4x4-26.mtx,3,523
conf6_0-4x4-20.mtx,3,523
conf6_0-4x4-30.mtx,3,523
cq5.mtx,3,79
crystm01.mtx,3,104
cti.mtx,3,35
cvxqp3.mtx,3,49
dblp-cite.edges,3,339
delaunay_n14.mtx,3,22
edit-enwikibooks.edges,3,281
edit-frwikibooks.edges,3,150
edit-frwikinews.edges,3,99
epb1.mtx,3,25
ex31.mtx,3,145
ex3sta1.mtx,3,257
ex8.mtx,3,160
ex9.mtx,3,115
FA.mtx,3,714
fd18.mtx,3,133
fe_sphere.mtx,3,23
fs-FA.mtx,3,713
gen1.mtx,3,682
gen.mtx,3,682
hvdc1.mtx,3,24
jan99jac040.mtx,3,172
jan99jac040sc.mtx,3,172
juba40k.mtx,3,21
l30.mtx,3,76
lasagne-spanishbook.edges,3,222
lp22.mtx,3,253
lp_fit2p.mtx,3,31
lpi_bgindy.mtx,3,132
lp_ken_11.mtx,3,36
lp_pds_06.mtx,3,52
lp_wood1p.mtx,3,134
meg1.mtx,3,533
memchip.mtx,3,7
memplus.mtx,3,142
mhd4800a.mtx,3,52
misc-jung-code-dep.edges,3,170
mk11-b3.mtx,3,313
mk11-b4.mtx,3,112
mk12-b5.mtx,3,6
model7.mtx,3,229
model9.mtx,3,250
movielens-10m_ui.edges,3,456
mplate.mtx,3,273
nasa4704.mtx,3,106
nemspmm1.mtx,3,246
nemspmm2.mtx,3,178
p05.mtx,3,64
p2p-Gnutella24.mtx,3,237
p2p-Gnutella25.mtx,3,206
pcb3000.mtx,3,190
pds10.mtx,3,87
piston.mtx,3,111
psse1.mtx,3,95
rail_20209.mtx,3,19
rajat10.mtx,3,11
rdist2.mtx,3,382
rdist3a.mtx,3,343
rel7.mtx,3,189
rosen10.mtx,3,30
scrs8-2r.mtx,3,29
se.mtx,3,11
stokes64.mtx,3,47
stokes64s.mtx,3,47
subelj_jdk.edges,3,167
subelj_jung-j.edges,3,170
ted_B.mtx,3,40
ted_B_unscaled.mtx,3,40
testbig.mtx,3,31
utm5940.mtx,3,78
aa4.mtx,4,334
aa5.mtx,4,534
aa6.mtx,4,429
abtaha1.mtx,4,203
aft01.mtx,4,75
aft02.mtx,4,78
air02.mtx,4,50
air05.mtx,4,334
as-22july06.mtx,4,107
as-caida20071105.edges,4,106
as-caida.mtx,4,106
ASIC_680ks.mtx,4,28
aug3dcqp.mtx,4,11
bauru5727.mtx,4,27
bayer02.mtx,4,498
bayer03.mtx,4,738
bcsstk15.mtx,4,263
bcsstk18.mtx,4,154
bibd_49_3.mtx,4,879
bloweybl.mtx,4,10
bodyy4.mtx,4,30
bodyy5.mtx,4,31
bodyy6.mtx,4,31
c-39.mtx,4,321
c-42.mtx,4,97
c-43.mtx,4,140
c-46.mtx,4,93
c-49.mtx,4,218
cage10.mtx,4,688
ca-opsahl-collaboration.edges,4,210
car4.mtx,4,276
cca.mtx,4,15
ch7-6-b3.mtx,4,1105
ch7-9-b2.mtx,4,1057
ch8-8-b2.mtx,4,1090
Chem97Zt.mtx,4,19
co5.mtx,4,184
comsol.mtx,4,387
conf5_0-4x4-10.mtx,4,927
conf5_0-4x4-14.mtx,4,927
conf5_0-4x4-18.mtx,4,927
conf5_0-4x4-22.mtx,4,927
conf5_0-4x4-26.mtx,4,927
conf6_0-4x4-20.mtx,4,927
conf6_0-4x4-30.mtx,4,927
cq5.mtx,4,129
crystm01.mtx,4,150
cti.mtx,4,52
cvxqp3.mtx,4,127
dblp-cite.edges,4,714
delaunay_n14.mtx,4,32
edit-enwikibooks.edges,4,459
edit-frwikibooks.edges,4,233
edit-frwikinews.edges,4,130
epb1.mtx,4,38
ex31.mtx,4,194
ex3sta1.mtx,4,1169
ex8.mtx,4,240
ex9.mtx,4,152
FA.mtx,4,1305
fd18.mtx,4,465
fe_sphere.mtx,4,34
fs-FA.mtx,4,1306
gen1.mtx,4,691
gen.mtx,4,691
hvdc1.mtx,4,32
jan99jac040.mtx,4,271
jan99jac040sc.mtx,4,271
juba40k.mtx,4,27
l30.mtx,4,169
lasagne-spanishbook.edges,4,299
lp22.mtx,4,673
lp_fit2p.mtx,4,35
lpi_bgindy.mtx,4,223
lp_ken_11.mtx,4,100
lp_pds_06.mtx,4,173
lp_wood1p.mtx,4,139
meg1.mtx,4,812
memchip.mtx,4,8
memplus.mtx,4,146
mhd4800a.mtx,4,65
misc-jung-code-dep.edges,4,179
mk11-b3.mtx,4,1340
mk11-b4.mtx,4,446
mk12-b5.mtx,4,7
model7.mtx,4,540
model9.mtx,4,518
movielens-10m_ui.edges,4,631
mplate.mtx,4,552
nasa4704.mtx,4,151
nemspmm1.mtx,4,430
nemspmm2.mtx,4,361
p05.mtx,4,106
p2p-Gnutella24.mtx,4,1046
p2p-Gnutella25.mtx,4,887
pcb3000.mtx,4,412
pds10.mtx,4,201
piston.mtx,4,154
psse1.mtx,4,343
rail_20209.mtx,4,28
rajat10.mtx,4,16
rdist2.mtx,4,713
rdist3a.mtx,4,536
rel7.mtx,4,488
rosen10.mtx,4,30
scrs8-2r.mtx,4,47
se.mtx,4,18
stokes64.mtx,4,66
stokes64s.mtx,4,66
subelj_jdk.edges,4,181
subelj_jung-j.edges,4,179
ted_B.mtx,4,49
ted_B_unscaled.mtx,4,49
testbig.mtx,4,58
utm5940.mtx,4,139
aa4.mtx,5,349
aa5.mtx,5,595
aa6.mtx,5,480
abtaha1.mtx,5,209
aft01.mtx,5,116
aft02.mtx,5,116
air02.mtx,5,50
air05.mtx,5,349
as-22july06.mtx,5,136
as-caida20071105.edges,5,139
as-caida.mtx,5,135
ASIC_680ks.mtx,5,35
aug3dcqp.mtx,5,21
bauru5727.mtx,5,32
bayer02.mtx,5,1119
bayer03.mtx,5,1137
bcsstk15.mtx,5,388
bcsstk18.mtx,5,233
bibd_49_3.mtx,5,972
bloweybl.mtx,5,12
bodyy4.mtx,5,43
bodyy5.mtx,5,44
bodyy6.mtx,5,43
c-39.mtx,5,346
c-42.mtx,5,115
c-43.mtx,5,164
c-46.mtx,5,131
c-49.mtx,5,289
cage10.mtx,5,1331
ca-opsahl-collaboration.edges,5,532
car4.mtx,5,275
cca.mtx,5,22
ch7-6-b3.mtx,5,1941
ch7-9-b2.mtx,5,1204
ch8-8-b2.mtx,5,1253
Chem97Zt.mtx,5,22
co5.mtx,5,257
comsol.mtx,5,454
conf5_0-4x4-10.mtx,5,1238
conf5_0-4x4-14.mtx,5,1238
conf5_0-4x4-18.mtx,5,1238
conf5_0-4x4-22.mtx,5,1238
conf5_0-4x4-26.mtx,5,1238
conf6_0-4x4-20.mtx,5,1238
conf6_0-4x4-30.mtx,5,1238
cq5.mtx,5,215
crystm01.mtx,5,213
cti.mtx,5,93
cvxqp3.mtx,5,276
dblp-cite.edges,5,1011
delaunay_n14.mtx,5,44
edit-enwikibooks.edges,5,621
edit-frwikibooks.edges,5,287
edit-frwikinews.edges,5,163
epb1.mtx,5,55
ex31.mtx,5,238
ex3sta1.mtx,5,2398
ex8.mtx,5,317
ex9.mtx,5,186
FA.mtx,5,1696
fd18.mtx,5,1397
fe_sphere.mtx,5,44
fs-FA.mtx,5,1697
gen1.mtx,5,693
gen.mtx,5,693
hvdc1.mtx,5,36
jan99jac040.mtx,5,410
jan99jac040sc.mtx,5,410
juba40k.mtx,5,34
l30.mtx,5,295
lasagne-spanishbook.edges,5,342
lp22.mtx,5,984
lp_fit2p.mtx,5,35
lpi_bgindy.mtx,5,282
lp_ken_11.mtx,5,210
lp_pds_06.mtx,5,464
lp_wood1p.mtx,5,148
meg1.mtx,5,806
memchip.mtx,5,8
memplus.mtx,5,146
mhd4800a.mtx,5,77
misc-jung-code-dep.edges,5,204
mk11-b3.mtx,5,2682
mk11-b4.mtx,5,1438
mk12-b5.mtx,5,8
model7.mtx,5,749
model9.mtx,5,750
movielens-10m_ui.edges,5,761
mplate.mtx,5,817
nasa4704.mtx,5,207
nemspmm1.mtx,5,565
nemspmm2.mtx,5,551
p05.mtx,5,126
p2p-Gnutella24.mtx,5,2114
p2p-Gnutella25.mtx,5,1798
pcb3000.mtx,5,708
pds10.mtx,5,345
piston.mtx,5,199
psse1.mtx,5,995
rail_20209.mtx,5,37
rajat10.mtx,5,23
rdist2.mtx,5,954
rdist3a.mtx,5,675
rel7.mtx,5,658
rosen10.mtx,5,30
scrs8-2r.mtx,5,64
se.mtx,5,25
stokes64.mtx,5,100
stokes64s.mtx,5,100
subelj_jdk.edges,5,223
subelj_jung-j.edges,5,204
ted_B.mtx,5,58
ted_B_unscaled.mtx,5,58
testbig.mtx,5,98
utm5940.mtx,5,188
