test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,treewidth_wcol,treewidth_time,flat.sna_wcol,flat.sna_time,dtfR_wcol,dtfR_time
fvs097,4,36,0:00.00 ,36,0:00.13 ,26,0:00.00 ,34,0:00.00 ,36,0:00.21 
fvs099,4,10,0:00.00 ,10,0:00.09 ,11,0:00.00 ,10,0:00.01 ,10,0:00.14 
fvs100,4,36,0:00.01 ,38,0:00.28 ,29,0:00.01 ,39,0:00.01 ,39,0:00.24 
hex,4,39,0:00.00 ,34,0:00.73 ,28,0:00.02 ,39,0:00.01 ,38,0:00.30 
karate,4,9,0:00.00 ,8,0:00.07 ,11,0:00.00 ,10,0:00.00 ,17,0:00.15 
lesmiserables,4,18,0:00.01 ,20,0:00.10 ,28,0:00.00 ,20,0:00.00 ,33,0:00.16 
photoviz_dynamic,4,25,0:00.01 ,38,0:00.30 ,21,0:00.00 ,36,0:00.00 ,33,0:00.31 
planar302,4,15,0:00.02 ,28,0:00.26 ,21,0:00.00 ,15,0:00.01 ,33,0:00.25 
planar350,4,15,0:00.01 ,25,0:00.20 ,23,0:00.00 ,15,0:00.01 ,24,0:00.29 
planar400,4,16,0:00.01 ,35,0:00.45 ,20,0:00.00 ,16,0:00.01 ,23,0:00.24 
planar500,4,13,0:00.01 ,25,0:00.29 ,18,0:00.01 ,15,0:00.02 ,26,0:00.28 
planar600,4,13,0:00.00 ,23,0:00.61 ,15,0:00.00 ,13,0:00.03 ,21,0:00.31 
polbooks,4,33,0:00.01 ,46,0:00.08 ,28,0:00.00 ,38,0:00.00 ,43,0:00.16 
word_adjacencies,4,43,0:00.00 ,48,0:00.11 ,41,0:00.01 ,49,0:00.01 ,52,0:00.23 
bergen,5,22,0:00.00 ,24,0:00.08 ,22,0:00.00 ,22,0:00.00 ,29,0:00.16 
dolphins,5,26,0:00.00 ,26,0:00.08 ,22,0:00.00 ,31,0:00.00 ,33,0:00.14 
football,5,95,0:00.00 ,87,0:00.13 ,63,0:00.03 ,99,0:00.02 ,110,0:00.45 
fvs002,5,20,0:00.00 ,17,0:00.31 ,16,0:00.00 ,16,0:00.00 ,22,0:00.30 
fvs020,5,12,0:00.00 ,10,0:00.09 ,9,0:00.00 ,11,0:00.00 ,10,0:00.17 
fvs033,5,44,0:00.00 ,41,0:04.20 ,30,0:00.22 ,60,0:00.00 ,47,0:00.70 
fvs047,5,40,0:00.00 ,36,0:00.12 ,25,0:00.00 ,46,0:00.00 ,47,0:00.22 
fvs051,5,46,0:00.00 ,36,0:00.10 ,31,0:00.00 ,45,0:00.01 ,44,0:00.20 
fvs066,5,119,0:00.00 ,74,0:00.16 ,81,0:00.04 ,129,0:00.01 ,118,0:00.56 
fvs097,5,43,0:00.00 ,45,0:00.13 ,31,0:00.00 ,42,0:00.00 ,48,0:00.23 
fvs099,5,10,0:00.00 ,10,0:00.09 ,11,0:00.00 ,10,0:00.01 ,11,0:00.14 
fvs100,5,45,0:00.01 ,46,0:00.28 ,30,0:00.01 ,50,0:00.01 ,51,0:00.23 
hex,5,56,0:00.00 ,53,0:00.73 ,38,0:00.02 ,54,0:00.01 ,57,0:00.43 
karate,5,9,0:00.00 ,8,0:00.07 ,11,0:00.00 ,10,0:00.00 ,17,0:00.13 
lesmiserables,5,18,0:00.01 ,20,0:00.10 ,28,0:00.00 ,20,0:00.00 ,34,0:00.13 
photoviz_dynamic,5,30,0:00.01 ,39,0:00.30 ,23,0:00.00 ,43,0:00.00 ,43,0:00.31 
planar302,5,15,0:00.02 ,29,0:00.26 ,24,0:00.00 ,15,0:00.01 ,36,0:00.19 
planar350,5,17,0:00.01 ,25,0:00.20 ,26,0:00.00 ,16,0:00.01 ,33,0:00.28 
planar400,5,17,0:00.01 ,38,0:00.45 ,24,0:00.00 ,16,0:00.01 ,32,0:00.33 
planar500,5,14,0:00.01 ,27,0:00.29 ,20,0:00.01 ,16,0:00.02 ,33,0:00.36 
planar600,5,14,0:00.00 ,23,0:00.61 ,18,0:00.00 ,15,0:00.03 ,28,0:00.38 
polbooks,5,35,0:00.01 ,48,0:00.08 ,29,0:00.00 ,42,0:00.00 ,49,0:00.24 
word_adjacencies,5,49,0:00.00 ,48,0:00.11 ,41,0:00.01 ,53,0:00.01 ,59,0:00.27 
