test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,treewidth_wcol,treewidth_time,flat.sna_wcol,flat.sna_time,dtfR_wcol,dtfR_time
clh-12-0,4,350,0:00.14 ,-1,TIMEOUT,637,0:26.64 ,549,0:00.15 ,427,0:37.73 
clh-12-1,4,322,0:00.10 ,-1,TIMEOUT,623,0:25.66 ,529,0:00.17 ,486,0:34.13 
cond-mat,4,387,0:00.33 ,-1,TIMEOUT,-1,TIMEOUT,457,0:03.25 ,-1,TIMEOUT
fvs001,4,144,0:00.12 ,-1,RTE,112,0:01.19 ,190,0:00.39 ,331,0:12.35 
fvs022,4,117,0:00.19 ,-1,TIMEOUT,131,0:01.94 ,144,0:01.81 ,172,0:17.71 
fvs040,4,105,0:00.12 ,-1,TIMEOUT,126,0:01.83 ,137,0:01.64 ,186,0:13.61 
fvs045,4,30,0:00.16 ,-1,TIMEOUT,21,0:07.28 ,33,0:01.17 ,28,0:06.95 
fvs074,4,114,0:00.16 ,-1,TIMEOUT,126,0:02.05 ,147,0:01.46 ,185,0:11.26 
fvs080,4,72,0:00.09 ,-1,TIMEOUT,90,0:00.56 ,85,0:00.38 ,102,0:05.46 
hep-th,4,211,0:00.13 ,-1,RTE,320,0:06.96 ,235,0:00.69 ,204,0:12.94 
p2p-Gnutella04,4,1516,0:00.31 ,-1,TIMEOUT,-1,TIMEOUT,2427,0:00.80 ,-1,TIMEOUT
planar10000,4,21,0:00.16 ,-1,TIMEOUT,23,0:00.30 ,22,0:00.98 ,32,0:04.45 
planar12000,4,21,0:00.18 ,-1,TIMEOUT,21,0:00.38 ,19,0:01.29 ,31,0:05.32 
planar15000,4,18,0:00.20 ,-1,RTE,20,0:00.34 ,19,0:02.02 ,29,0:05.42 
planar7002,4,23,0:00.17 ,-1,TIMEOUT,26,0:00.22 ,22,0:00.78 ,51,0:02.30 
planar8500,4,21,0:00.17 ,-1,TIMEOUT,25,0:00.29 ,21,0:00.97 ,46,0:03.30 
polblogs,4,386,0:00.06 ,451,0:26.42 ,348,0:08.46 ,483,0:00.09 ,540,0:16.14 
sb-12-0,4,381,0:00.13 ,-1,TIMEOUT,-1,TIMEOUT,699,0:00.11 ,-1,TIMEOUT
sb-12-1,4,377,0:00.11 ,-1,TIMEOUT,-1,TIMEOUT,669,0:00.09 ,-1,TIMEOUT
