test,rad,%,mfcs_forb,mfcs_scat,mfcs_score,mfcs_time,new1_forb,new1_scat,new1_score,new1_time,new2_forb,new2_scat,new2_score,new2_time,tree1_forb,tree1_scat,tree1_score,tree1_time,tree2_forb,tree2_scat,tree2_score,tree2_time,ld_it_forb,ld_it_scat,ld_it_score,ld_it_time,ld_forb,ld_scat,ld_score,ld_time,new_ld_forb,new_ld_scat,new_ld_score,new_ld_time
medium/planar2000.txtg,5,20,204,283,5,0:00.03,2,5,2,0:00.36,4,13,3,0:00.34,0,31,31,0:00.01,0,31,31,0:00.02,0,36,36,0:00.02,0,40,40,0:00.21,0,40,40,1:08.77
medium/planar2500.txtg,5,100,394,853,11,0:00.08,0,19,19,0:00.39,0,41,41,0:00.40,0,110,110,0:00.05,0,110,110,0:00.03,0,115,115,0:00.03,0,133,133,0:00.79,-,-,-,TIMEOUT
medium/planar2500.txtg,5,20,198,317,5,0:00.02,0,10,10,0:00.33,0,24,24,0:00.29,0,61,61,0:00.02,0,61,61,0:00.02,0,65,65,0:00.02,0,73,73,0:00.18,0,73,73,1:50.40
medium/planar3000.txtg,5,100,518,1217,12,0:00.10,0,47,47,0:00.40,0,106,106,0:00.50,0,183,183,0:00.06,0,183,183,0:00.04,0,183,183,0:00.02,0,209,209,0:00.90,-,-,-,TIMEOUT
medium/planar3000.txtg,5,20,175,347,5,0:00.02,0,25,25,0:00.34,0,50,50,0:00.28,0,80,80,0:00.02,0,80,80,0:00.01,0,85,85,0:00.02,0,94,94,0:00.19,0,94,94,2:46.18
medium/power.txtg,5,100,0,135,135,0:00.07,0,130,130,0:00.82,0,238,238,0:00.54,0,345,345,0:00.11,0,345,345,0:00.07,0,379,379,0:00.04,0,443,443,0:00.49,-,-,-,TIMEOUT
medium/power.txtg,5,20,0,91,91,0:00.03,0,88,88,0:00.26,0,167,167,0:00.21,0,205,205,0:00.03,0,205,205,0:00.03,0,219,219,0:00.02,0,252,252,0:00.12,0,253,253,1:37.06
medium/sb-10-0.txtg,5,100,497,293,1,0:00.02,8,2,1,0:32.45,9,2,1,0:30.36,0,7,7,0:00.01,0,7,7,0:00.01,0,10,10,0:00.01,0,12,12,0:01.16,0,12,12,4:21.45
medium/sb-10-0.txtg,5,20,264,83,1,0:00.03,4,2,1,0:23.82,7,2,1,0:21.42,0,6,6,0:00.01,0,6,6,0:00.01,0,3,3,0:00.01,0,7,7,0:00.28,0,7,7,1:25.77
medium/sb-10-1.txtg,5,100,505,279,2,0:00.03,0,1,1,0:35.12,0,1,1,0:33.59,0,12,12,0:00.02,0,12,12,0:00.02,0,10,10,0:00.02,0,13,13,0:01.14,0,13,13,4:07.72
medium/sb-10-1.txtg,5,20,243,75,1,0:00.02,0,1,1,0:24.43,0,1,1,0:22.89,0,5,5,0:00.02,0,5,5,0:00.01,0,5,5,0:00.01,0,5,5,0:00.29,0,5,5,1:43.93
medium/sb-10-2.txtg,5,100,505,281,1,0:00.03,0,1,1,0:37.10,0,1,1,0:34.50,0,9,9,0:00.02,0,9,9,0:00.02,0,9,9,0:00.02,0,11,11,0:01.15,0,11,11,4:39.05
medium/sb-10-2.txtg,5,20,250,73,1,0:00.03,0,1,1,0:26.04,0,1,1,0:24.42,0,3,3,0:00.01,0,3,3,0:00.01,0,4,4,0:00.03,0,6,6,0:00.29,0,6,6,1:41.04
medium/sp_data_school_day_2.txtg,5,100,176,11,1,0:00.01,0,1,1,0:07.03,0,1,1,0:06.59,0,1,1,0:00.02,0,1,1,0:00.02,0,1,1,0:00.01,0,1,1,0:00.09,0,1,1,1:54.57
medium/sp_data_school_day_2.txtg,5,20,92,5,1,0:00.02,0,1,1,0:06.16,0,1,1,0:06.30,0,1,1,0:00.01,0,1,1,0:00.01,0,1,1,0:00.02,0,1,1,0:00.05,0,1,1,0:40.77
medium/yeast.txtg,5,100,577,1449,77,0:00.47,0,102,102,0:58.07,0,112,112,0:54.44,0,152,152,0:00.10,0,152,152,0:00.03,0,155,155,0:00.05,0,158,158,0:05.16,-,-,-,TIMEOUT
medium/yeast.txtg,5,20,362,329,16,0:00.06,0,29,29,0:43.14,0,33,33,0:40.73,0,52,52,0:00.03,0,52,52,0:00.02,0,56,56,0:00.03,0,57,57,0:01.20,0,57,57,7:03.64
