test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,felixR_wcol,felixR_time
fvs021,3,29,0:00.01 ,-1,TIMEOUT,26,0:00.08 ,29,0:00.06 ,22,0:00.46 
fvs023,3,15,0:00.00 ,17,0:01.35 ,13,0:00.02 ,18,0:00.00 ,25,0:00.26 
fvs052,3,14,0:00.02 ,26,0:20.77 ,12,0:00.04 ,16,0:00.02 ,14,0:00.54 
fvs056,3,15,0:00.02 ,23,0:12.07 ,13,0:00.05 ,15,0:00.05 ,14,0:00.49 
fvs078,3,20,0:00.04 ,-1,TIMEOUT,15,0:00.16 ,15,0:00.11 ,12,0:00.79 
netscience,3,20,0:00.01 ,-1,TIMEOUT,20,0:00.02 ,20,0:00.04 ,21,0:00.29 
planar1302,3,16,0:00.02 ,29,0:04.19 ,20,0:00.06 ,16,0:00.03 ,27,0:00.51 
planar1500,3,16,0:00.01 ,29,0:05.83 ,19,0:00.04 ,16,0:00.04 ,25,0:00.57 
planar2000,3,17,0:00.04 ,36,0:06.59 ,15,0:00.06 ,15,0:00.05 ,21,0:00.66 
planar2500,3,13,0:00.04 ,30,0:15.08 ,14,0:00.06 ,14,0:00.08 ,17,0:00.78 
planar3000,3,12,0:00.02 ,40,0:35.50 ,14,0:00.07 ,12,0:00.11 ,16,0:00.76 
power,3,18,0:00.06 ,-1,TIMEOUT,17,0:00.12 ,16,0:00.32 ,20,0:01.30 
sb-10-0,3,89,0:00.01 ,181,0:24.40 ,139,0:04.39 ,139,0:00.03 ,91,0:06.63 
sb-10-1,3,98,0:00.02 ,226,0:19.22 ,136,0:04.43 ,131,0:00.04 ,103,0:05.76 
sb-10-2,3,92,0:00.02 ,184,0:21.84 ,159,0:04.51 ,137,0:00.04 ,93,0:07.57 
sp_data_school_day_2,3,174,0:00.01 ,206,0:00.42 ,153,0:00.33 ,175,0:00.03 ,211,0:01.20 
yeast,3,173,0:00.03 ,-1,TIMEOUT,251,0:02.39 ,243,0:00.13 ,180,0:06.13 
airlines,4,56,0:00.00 ,65,0:00.37 ,53,0:00.06 ,65,0:00.00 ,95,0:00.45 
celegans,4,124,0:00.01 ,151,0:00.59 ,110,0:00.11 ,138,0:00.02 ,160,0:00.92 
cl-10-0,4,199,0:00.01 ,293,0:05.12 ,218,0:01.22 ,313,0:00.06 ,208,0:05.75 
cl-10-1,4,191,0:00.01 ,308,0:07.52 ,216,0:01.23 ,308,0:00.02 ,210,0:05.35 
cl-10-2,4,189,0:00.01 ,271,0:10.60 ,225,0:01.35 ,302,0:00.03 ,220,0:05.69 
clh-10-0,4,132,0:00.01 ,232,0:03.16 ,170,0:00.60 ,212,0:00.04 ,144,0:03.55 
clh-10-1,4,131,0:00.01 ,207,0:02.99 ,159,0:00.57 ,194,0:00.03 ,154,0:03.60 
clh-10-2,4,139,0:00.02 ,237,0:04.03 ,168,0:00.57 ,182,0:00.03 ,144,0:03.82 
codeminer,4,27,0:00.00 ,34,0:02.17 ,15,0:00.03 ,21,0:00.03 ,22,0:00.35 
cpan-authors,4,41,0:00.00 ,50,0:09.73 ,44,0:00.10 ,55,0:00.04 ,68,0:00.69 
cpan-distributions,4,45,0:00.05 ,-1,TIMEOUT,49,0:00.11 ,59,0:00.16 ,70,0:02.35 
diseasome,4,24,0:00.01 ,31,0:06.16 ,28,0:00.03 ,25,0:00.08 ,37,0:00.63 
fvs004,4,90,0:00.00 ,102,0:00.36 ,83,0:00.17 ,117,0:00.02 ,134,0:00.82 
fvs008,4,46,0:00.01 ,-1,TIMEOUT,43,0:00.10 ,51,0:00.11 ,38,0:00.97 
fvs014,4,66,0:00.03 ,-1,TIMEOUT,66,0:00.56 ,352,0:00.12 ,155,0:05.73 
fvs021,4,47,0:00.01 ,-1,TIMEOUT,41,0:00.08 ,50,0:00.06 ,44,0:00.81 
fvs023,4,16,0:00.00 ,23,0:01.35 ,15,0:00.02 ,23,0:00.00 ,60,0:00.27 
fvs052,4,20,0:00.02 ,27,0:20.77 ,16,0:00.04 ,20,0:00.02 ,18,0:00.71 
fvs056,4,20,0:00.02 ,27,0:12.07 ,18,0:00.05 ,22,0:00.05 ,19,0:00.63 
fvs078,4,29,0:00.04 ,-1,TIMEOUT,21,0:00.16 ,22,0:00.11 ,15,0:11.82 
netscience,4,20,0:00.01 ,-1,TIMEOUT,24,0:00.02 ,20,0:00.04 ,21,0:00.33 
planar1302,4,19,0:00.02 ,34,0:04.19 ,27,0:00.06 ,18,0:00.03 ,39,0:00.57 
planar1500,4,18,0:00.01 ,34,0:05.83 ,26,0:00.04 ,19,0:00.04 ,36,0:00.80 
planar2000,4,19,0:00.04 ,37,0:06.59 ,19,0:00.06 ,18,0:00.05 ,33,0:00.92 
planar2500,4,16,0:00.04 ,35,0:15.08 ,21,0:00.06 ,17,0:00.08 ,28,0:01.14 
planar3000,4,15,0:00.02 ,45,0:35.50 ,17,0:00.07 ,15,0:00.11 ,28,0:01.08 
