test,rad,sortdeg1.lsR
mhd4800a.mtx,2,45
misc-jung-code-dep.edges,2,110
mk11-b3.mtx,2,65
mk11-b4.mtx,2,38
mk12-b5.mtx,2,
model7.mtx,2,84
model9.mtx,2,85
movielens-10m_ui.edges,2,215
mplate.mtx,2,108
nasa4704.mtx,2,59
nemspmm1.mtx,2,101
nemspmm2.mtx,2,72
p05.mtx,2,27
p2p-Gnutella24.mtx,2,41
p2p-Gnutella25.mtx,2,37
pcb3000.mtx,2,81
pds10.mtx,2,33
piston.mtx,2,82
psse1.mtx,2,27
rail_20209.mtx,2,12
rajat10.mtx,2,7
rdist2.mtx,2,154
rdist3a.mtx,2,217
rel7.mtx,2,68
rosen10.mtx,2,29
scrs8-2r.mtx,2,14
se.mtx,2,7
stokes64.mtx,2,28
stokes64s.mtx,2,28
subelj_jdk.edges,2,103
subelj_jung-j.edges,2,110
ted_B.mtx,2,30
ted_B_unscaled.mtx,2,30
testbig.mtx,2,15
utm5940.mtx,2,55
aa4.mtx,3,283
aa5.mtx,3,408
aa6.mtx,3,332
abtaha1.mtx,3,196
aft01.mtx,3,62
aft02.mtx,3,65
air02.mtx,3,50
air05.mtx,3,283
as-22july06.mtx,3,98
as-caida20071105.edges,3,113
as-caida.mtx,3,109
ASIC_680ks.mtx,3,18
aug3dcqp.mtx,3,13
bauru5727.mtx,3,22
bayer02.mtx,3,156
bayer03.mtx,3,310
bcsstk15.mtx,3,187
bcsstk18.mtx,3,104
bibd_49_3.mtx,3,310
bloweybl.mtx,3,7
bodyy4.mtx,3,25
bodyy5.mtx,3,26
bodyy6.mtx,3,26
c-39.mtx,3,265
c-42.mtx,3,92
c-43.mtx,3,83
c-46.mtx,3,102
c-49.mtx,3,124
cage10.mtx,3,283
ca-opsahl-collaboration.edges,3,68
car4.mtx,3,
cca.mtx,3,14
ch7-6-b3.mtx,3,510
ch7-9-b2.mtx,3,280
ch8-8-b2.mtx,3,301
Chem97Zt.mtx,3,114
co5.mtx,3,92
comsol.mtx,3,294
conf5_0-4x4-10.mtx,3,669
conf5_0-4x4-14.mtx,3,669
conf5_0-4x4-18.mtx,3,669
conf5_0-4x4-22.mtx,3,669
conf5_0-4x4-26.mtx,3,669
conf6_0-4x4-20.mtx,3,669
conf6_0-4x4-30.mtx,3,669
cq5.mtx,3,61
crystm01.mtx,3,123
cti.mtx,3,39
cvxqp3.mtx,3,59
dblp-cite.edges,3,400
delaunay_n14.mtx,3,20
edit-enwikibooks.edges,3,304
edit-frwikibooks.edges,3,176
edit-frwikinews.edges,3,115
epb1.mtx,3,25
ex31.mtx,3,161
ex3sta1.mtx,3,244
ex8.mtx,3,186
ex9.mtx,3,119
FA.mtx,3,753
fd18.mtx,3,127
fe_sphere.mtx,3,26
fs-FA.mtx,3,753
gen1.mtx,3,742
gen.mtx,3,742
hvdc1.mtx,3,24
jan99jac040.mtx,3,179
jan99jac040sc.mtx,3,179
juba40k.mtx,3,24
l30.mtx,3,74
lasagne-spanishbook.edges,3,239
lp22.mtx,3,245
lp_fit2p.mtx,3,31
lpi_bgindy.mtx,3,153
lp_ken_11.mtx,3,36
lp_pds_06.mtx,3,63
lp_wood1p.mtx,3,133
meg1.mtx,3,565
memchip.mtx,3,6
memplus.mtx,3,155
mhd4800a.mtx,3,67
misc-jung-code-dep.edges,3,154
mk11-b3.mtx,3,563
mk11-b4.mtx,3,156
mk12-b5.mtx,3,
model7.mtx,3,234
model9.mtx,3,251
movielens-10m_ui.edges,3,503
mplate.mtx,3,289
nasa4704.mtx,3,109
nemspmm1.mtx,3,320
nemspmm2.mtx,3,196
p05.mtx,3,58
p2p-Gnutella24.mtx,3,243
p2p-Gnutella25.mtx,3,211
pcb3000.mtx,3,184
pds10.mtx,3,98
piston.mtx,3,103
psse1.mtx,3,99
rail_20209.mtx,3,20
rajat10.mtx,3,13
rdist2.mtx,3,416
rdist3a.mtx,3,409
rel7.mtx,3,223
rosen10.mtx,3,31
scrs8-2r.mtx,3,28
se.mtx,3,13
stokes64.mtx,3,55
stokes64s.mtx,3,55
subelj_jdk.edges,3,167
subelj_jung-j.edges,3,154
ted_B.mtx,3,44
ted_B_unscaled.mtx,3,44
testbig.mtx,3,36
utm5940.mtx,3,108
aa4.mtx,4,350
aa5.mtx,4,612
aa6.mtx,4,480
abtaha1.mtx,4,207
aft01.mtx,4,103
aft02.mtx,4,103
air02.mtx,4,50
air05.mtx,4,350
as-22july06.mtx,4,139
as-caida20071105.edges,4,133
as-caida.mtx,4,138
ASIC_680ks.mtx,4,31
aug3dcqp.mtx,4,18
bauru5727.mtx,4,34
bayer02.mtx,4,466
bayer03.mtx,4,798
bcsstk15.mtx,4,323
bcsstk18.mtx,4,193
bibd_49_3.mtx,4,1032
bloweybl.mtx,4,8
bodyy4.mtx,4,41
bodyy5.mtx,4,39
bodyy6.mtx,4,39
c-39.mtx,4,446
c-42.mtx,4,108
c-43.mtx,4,114
c-46.mtx,4,117
c-49.mtx,4,254
cage10.mtx,4,682
ca-opsahl-collaboration.edges,4,235
car4.mtx,4,
cca.mtx,4,22
ch7-6-b3.mtx,4,2204
ch7-9-b2.mtx,4,1064
ch8-8-b2.mtx,4,1145
Chem97Zt.mtx,4,171
co5.mtx,4,126
comsol.mtx,4,447
conf5_0-4x4-10.mtx,4,1401
conf5_0-4x4-14.mtx,4,1401
conf5_0-4x4-18.mtx,4,1406
conf5_0-4x4-22.mtx,4,1406
conf5_0-4x4-26.mtx,4,1401
conf6_0-4x4-20.mtx,4,1401
conf6_0-4x4-30.mtx,4,1401
cq5.mtx,4,136
crystm01.mtx,4,207
cti.mtx,4,77
cvxqp3.mtx,4,153
dblp-cite.edges,4,856
delaunay_n14.mtx,4,29
edit-enwikibooks.edges,4,521
edit-frwikibooks.edges,4,290
edit-frwikinews.edges,4,156
epb1.mtx,4,40
ex31.mtx,4,247
ex3sta1.mtx,4,1162
ex8.mtx,4,295
ex9.mtx,4,187
FA.mtx,4,1438
fd18.mtx,4,521
fe_sphere.mtx,4,39
fs-FA.mtx,4,1438
gen1.mtx,4,753
gen.mtx,4,753
hvdc1.mtx,4,34
jan99jac040.mtx,4,330
jan99jac040sc.mtx,4,330
juba40k.mtx,4,36
l30.mtx,4,182
lasagne-spanishbook.edges,4,324
lp22.mtx,4,793
lp_fit2p.mtx,4,37
lpi_bgindy.mtx,4,301
lp_ken_11.mtx,4,101
lp_pds_06.mtx,4,236
lp_wood1p.mtx,4,144
meg1.mtx,4,1051
memchip.mtx,4,6
memplus.mtx,4,160
mhd4800a.mtx,4,87
misc-jung-code-dep.edges,4,224
mk11-b3.mtx,4,3255
mk11-b4.mtx,4,875
mk12-b5.mtx,4,
model7.mtx,4,560
model9.mtx,4,593
movielens-10m_ui.edges,4,745
mplate.mtx,4,581
nasa4704.mtx,4,170
nemspmm1.mtx,4,498
nemspmm2.mtx,4,407
p05.mtx,4,95
p2p-Gnutella24.mtx,4,1150
p2p-Gnutella25.mtx,4,981
pcb3000.mtx,4,485
